"Status","Name","Duration in ms","Description"
"skipped","tests.TestScript.projectApi.test_project.TestProject#test_premise","0",""
"passed","tests.TestScript.infoApi.test_info.TestPremise#test_case","379",""
"skipped","tests.TestScript.projectApi.test_project.TestProject#test_premise","0",""
"broken","tests.TestScript.configsmainApi.test_configsmain.TestConfigsmain#test_case","144",""
"passed","tests.TestScript.pageApi.test_page.TestPage#test_premise","3",""
"broken","tests.TestScript.homeindexApi.test_homeindex.TestHomeindex#test_case","319",""
"passed","tests.TestScript.pageApi.test_page.TestPage#test_premise","6",""
"passed","tests.TestScript.countApi.test_count.TestCount#test_premise","2",""
"passed","tests.TestScript.infoApi.test_info.TestInfo#test_premise","2",""
"skipped","tests.TestScript.projectApi.test_project.TestProject#test_premise","0",""
"skipped","tests.TestScript.projectApi.test_project.TestProject#test_premise","0",""
"passed","tests.TestScript.infoApi.test_info.TestPremise#test_premise","2",""
"passed","tests.TestScript.configsAPI.test_configs.TestConfigs#test_premise","3",""
"passed","tests.TestScript.simpleinfoApi.test_simpleinfo.TestSimpleinfo#test_case","172",""
"broken","tests.TestScript.countApi.test_count.TestCount#test_case","143",""
"passed","tests.TestScript.configsmainApi.test_configsmain.TestConfigsmain#test_case","83",""
"broken","tests.TestScript.pageApi.test_page.TestPage#test_case","7",""
"passed","tests.TestScript.infoApi.test_info.TestPremise#test_premise","0",""
"passed","tests.TestScript.configsAPI.test_configs.TestConfigs#test_premise","4",""
"passed","tests.TestScript.configsmainApi.test_configsmain.TestConfigsmain#test_premise","3",""
"passed","tests.TestScript.infoApi.test_info.TestPremise#test_premise","2",""
"passed","tests.TestScript.simpleinfoApi.test_simpleinfo.TestSimpleinfo#test_premise","2",""
"passed","tests.TestScript.infoApi.test_info.TestPremise#test_premise","1",""
"passed","tests.TestScript.infoApi.test_info.TestInfo#test_case","252",""
"passed","tests.TestScript.infoApi.test_info.TestPremise#test_case","384",""
"skipped","tests.TestScript.projectApi.test_project.TestProject#test_premise","0",""
"passed","tests.TestScript.countApi.test_count.TestCount#test_premise","3",""
"passed","tests.TestScript.infoApi.test_info.TestInfo#test_premise","2",""
"skipped","tests.TestScript.projectApi.test_project.TestProject#test_case","0",""
"passed","tests.TestScript.configsmainApi.test_configsmain.TestConfigsmain#test_premise","8",""
"skipped","tests.TestScript.projectApi.test_project.TestProject#test_premise","0",""
"passed","tests.TestScript.simpleinfoApi.test_simpleinfo.TestSimpleinfo#test_premise","2",""
"broken","tests.TestScript.configsAPI.test_configs.TestConfigs#test_case","169",""
"passed","tests.TestScript.configsAPI.test_configs.TestConfigs#test_case","129",""
"skipped","tests.TestScript.projectApi.test_project.TestProject#test_premise","0",""
"passed","tests.TestScript.homeindexApi.test_homeindex.TestHomeindex#test_premise","2",""
"skipped","tests.TestScript.projectApi.test_project.TestProject#test_case","0",""
"skipped","tests.TestScript.projectApi.test_project.TestProject#test_premise","0",""
"broken","tests.TestScript.simpleinfoApi.test_simpleinfo.TestSimpleinfo#test_case","168",""
"passed","tests.TestScript.countApi.test_count.TestCount#test_case","407",""
"broken","tests.TestScript.infoApi.test_info.TestInfo#test_case","161",""
"passed","tests.TestScript.homeindexApi.test_homeindex.TestHomeindex#test_premise","2",""
"broken","tests.TestScript.homeindexApi.test_homeindex.TestHomeindex#test_case","149",""
"broken","tests.TestScript.pageApi.test_page.TestPage#test_case","754",""
